bdr,loc,yr,mo,day,time,status,band,species,sex,age,rfid
SJKF,HQ,2014,7,3,9:00,R,P40831,RUHU,F,AHY,06B27
SJKF,HQ,2014,7,3,8:22,N,P40841,RUHU,F,AHY,140A7
SJKF,HQ,2014,7,3,9:44,N,P40836,RUHU,F,AHY,2CF27
SJKF,HQ,2014,7,3,9:29,N,P40837,RUHU,F,AHY,42F27
SJKF,HQ,2014,7,3,9:14,N,P40838,RUHU,F,AHY,4AF27
SJKF,HQ,2014,7,3,9:57,N,P40802,RUHU,F,AHY,68F27
SJKF,HQ,2014,7,3,6:38,R,P40808,RUHU,F,AHY,6AB27
SJKF,HQ,2014,7,3,8:47,N,P40839,RUHU,F,AHY,6C0A7
SJKF,HQ,2014,7,3,8:36,N,P40840,RUHU,F,AHY,70F27
SJKF,HQ,2014,7,3,7:04,R,P40804,RUHU,F,AHY,AA727
SJKF,HQ,2014,7,3,10:35,R,P40813,RUHU,F,AHY,BCB27
SJKF,HQ,2014,7,3,6:45,N,P40843,RUHU,F,AHY,C0B27
SJKF,HQ,2014,7,3,10:15,R,P40862,RUHU,F,AHY,C4727
SJKF,HQ,2014,7,3,10:06,R,P40805,RUHU,F,AHY,D5B27
SJKF,HQ,2014,7,3,8:01,N,P40842,RUHU,F,AHY,DBB27
SJKF,M1,2014,7,11,7:14,N,P40941,RUHU,F,AHY,57327
SJKF,M1,2014,7,11,7:32,N,P40949,RUHU,F,AHY,0BB27
SJKF,M1,2014,7,11,6:49,N,P40930,RUHU,U,HY,15F27
SJKF,M1,2014,7,11,7:45,N,P40950,RUHU,F,AHY,3EB27
SJKF,M1,2014,7,11,6:12,N,P40947,RUHU,F,AHY,710A7
SJKF,M1,2014,7,11,6:40,N,P40948,RUHU,F,AHY,D8B27
SJKF,M2,2014,7,12,8:48,N,P40940,RUHU,F,AHY,37727
SJKF,M2,2014,7,12,8:57,N,P40921,RUHU,U,HY,77327
SJKF,M2,2014,7,12,6:48,N,P40932,RUHU,F,AHY,14F27
SJKF,M2,2014,7,12,10:15,N,P40925,RUHU,F,AHY,360A7
SJKF,M2,2014,7,12,10:39,N,P40926,RUHU,F,AHY,3F327
SJKF,M2,2014,7,12,9:35,N,P40923,RUHU,F,AHY,56B27
SJKF,M2,2014,7,12,9:26,N,P40922,RUHU,U,AHY,690A7
SJKF,M2,2014,7,12,8:16,N,P40938,RUHU,F,AHY,84B27
SJKF,M2,2014,7,12,7:03,N,P40933,RUHU,U,HY,C1B27
SJKF,M2,2014,7,12,7:56,N,P40937,RUHU,F,AHY,C6F27
SJKF,M2,2014,7,12,10:05,N,P40924,RUHU,U,HY,C7B27
SJKF,M2,2014,7,12,8:20,N,P40939,RUHU,F,AHY,CBB27
SJKF,M2,2014,7,12,7:48,N,P40936,RUHU,F,AHY,D2F27
SJKF,M2,2014,7,12,7:19,N,P40934,RUHU,U,HY,D4727
SJKF,M2,2014,7,12,6:22,N,P40942,RUHU,U,HY,EE727
SJKF,M2,2014,7,12,6:36,N,P40931,RUHU,F,AHY,FC727
SJKF,M2,2014,7,12,7:33,N,P40935,RUHU ,U,HY,FF327
SJKF,CVOGV,2014,7,18,11:29,N,P40946,ANHU,U,HY,13F27
SJKF,CVOGV,2014,7,18,11:03,N,P40832,ANHU,M,AHY,47F27
SJKF,CVOGV,2014,7,18,10:12,N,P40944,ANHU,M,HY,6FB27
SJKF,CVOGV,2014,7,18,10:40,N,P40945,ANHU,M,HY,B4B27
SJKF,CVOGV,2014,7,18,11:42,N,P40927,RUHU,U,HY,CF727
SJKF,CVOGV,2014,7,25,11:06,N,P40995,RUHU,U,HY,810A7
SJKF,HQ,2014,7,29,7:42,R,P40811,RUHU,F,AHY,74727
SJKF,HQ,2014,7,29,10:55,N,P40969,RUHU,F,AHY,1BF27
SJKF,HQ,2014,7,29,7:25,N,P40992,RUHU,F,AHY,2E727
SJKF,HQ,2014,7,29,7:54,R,P40926,RUHU,F,AHY,3F327
SJKF,HQ,2014,7,29,6:38,N,P41000,RUHU,F,AHY,55B27
SJKF,HQ,2014,7,29,9:13,N,P40991,RUHU,F,AHY,890A7
SJKF,HQ,2014,7,29,6:55,N,P40994,RUHU,F,AHY,9DF27
SJKF,HQ,2014,7,29,7:10,N,P40993,RUHU,F,AHY,B4F27
SJKF,M2,2015,6,25,7:18,N,P40966,RUHU,F,AHY,00F27
SJKF,M2,2015,6,25,7:26,N,P40965,RUHU,F,AHY,0EB27
SJKF,M2,2015,6,25,6:42,N,P40876,RUHU,M,AHY,0EEBC
