reader	lat	lon	x	y	habitat	trtmnt	meadow_complex	meadow_ID	years	days_active	prop_for100
CM_C	44.2796277	-122.1457791	568164	4903286	large_meadow	center	CM	CMX41A	2	104	0.142405063
CM_E	44.2792814	-122.1428266	568400	4903250	small_meadow	isolated	CM	CMX41B	2	104	0.955555556
CM_N	44.2810284	-122.1476887	568010	4903440	large_meadow	connected	CM	CMX41C	2	104	0.685714286
CM_S	44.2771763	-122.1442356	568290	4903015	scrub	connected	CM	NA	2	104	0.440894569
CM_W	44.2786039	-122.1485383	567945	4903170	forest	forest	CM	NA	2	104	0.990536278
LOM_C	44.2054747	-122.1286405	569619	4895064	large_meadow	center	LOM	LOMX4A	3	168	0.346153846
LOM_N	44.2076173	-122.1286215	569618	4895302	forest	forest	LOM	NA	3	168	0.808917197
LOM_NE	44.2064686	-122.1255719	569863	4895177	scrub	connected	LOM	NA	3	168	0.643086817
LOM_SE	44.2037724	-122.1261875	569817	4894877	small_meadow	isolated	LOM	LOMX15G	3	168	0.801282051
LOM_W	44.204371	-122.1314854	569393	4894939	forest	forest	LOM	NA	3	168	1
M1_C	44.2350382	-122.1084441	571197	4898365	large_meadow	center	M1	M1X1A	4	179	0.134185304
M1_E	44.2333499	-122.1066789	571340	4898179	small_meadow	isolated	M1	M1X7	4	179	0.290734824
M1_NE	44.2368615	-122.1067385	571331	4898569	forest	forest	M1	NA	4	179	0.910828025
M1_NW	44.2370574	-122.1099163	571077	4898588	large_meadow	connected	M1	M1X1A	4	179	0.380191693
M1_S	44.2341572	-122.1109243	571000	4898265	scrub	connected	M1	NA	4	179	0.092651757
M2_C	44.2472932	-122.127322	569675	4899710	large_meadow	center	M2	M2X21A	4	179	0.463722397
M2_E	44.2460224	-122.1259631	569785	4899570	small_meadow	connected	M2	M2X21F	4	179	0.217665615
M2_N	44.2493501	-122.1266903	569723	4899939	large_meadow	connected	M2	M2X21A	4	179	0.32807571
M2_S	44.2451228	-122.1284186	569590	4899468	forest	forest	M2	NA	4	179	1
M2_W	44.2485075	-122.1295335	569497	4899843	scrub	isolated	M2	NA	4	179	0.847619048
